test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,0,first3,the|following|paragraphs,512,256,0,512.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,1,first3,how|would|a,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,2,first3,if|you|follow,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,3,first3,in|the|following,1024,256,0,885.0,-0.25927734375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,4,first3,find|a|movie,512,1024,0,512.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,5,first3,if|you|follow,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,6,first3,alice|bob|claire,1024,1024,1,644.0,0.811328125
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,7,first3,in|the|following,1024,1024,1,1011.0,0.70380859375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,8,first3,i|have|a,512,256,1,230.0,0.9326171875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,9,first3,question|jerry|tells,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,10,first3,2|7|5,512,1024,0,512.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,11,first3,this|svg|path,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,12,first3,if|you|follow,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,13,first3,here|comes|a,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,14,first3,in|the|following,1024,1024,1,1024.0,0.7
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,15,first3,alice|bob|claire,1024,1024,1,1024.0,0.7
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,16,first3,the|following|paragraphs,512,1024,1,299.0,0.91240234375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,17,first3,which|sentence|has,1024,256,0,1024.0,-0.3
