test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,0,first3,a|farmer|is,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,1,first3,carly|had|80,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,2,first3,in|tate|s,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,3,first3,joseph|had|3,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,4,first3,jill|gets|paid,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,5,first3,solomon|bought|20,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,6,first3,ford|owns|a,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,7,first3,adam|has|100,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,8,first3,cynthia|eats|one,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,9,first3,rob|royce|and,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,10,first3,it|rained|2,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,11,first3,a|pet|store,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,12,first3,gabriel|and|luri,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,13,first3,rozanne|is|making,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,14,first3,paul|needs|63,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,15,first3,a|juggler|can,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,16,first3,out|of|the,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,17,first3,there|are|40,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,18,first3,grandma|jones|baked,256,256,1,263.0,0.92294921875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,19,first3,mariah|s|grandma,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,20,first3,a|builder|works,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,21,first3,jake|s|family,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,22,first3,martha|has|been,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,23,first3,valerie|earns|5000,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,24,first3,henry|and|3,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,25,first3,it|s|april,256,128,1,265.0,0.92236328125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,26,first3,for|each|small,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,27,first3,to|make|1,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,28,first3,a|classroom|has,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,29,first3,jillian|s|handbag,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,30,first3,the|number|of,256,256,1,264.0,0.92265625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,31,first3,each|pole|on,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,32,first3,juan|asked|his,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,33,first3,kelly|has|5,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,34,first3,dora|s|father,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,35,first3,ted|starts|with,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,36,first3,katherine|has|5,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,37,first3,mike|decides|he,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,38,first3,a|news|website,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,39,first3,faraday|owns|a,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,0,first3,a|wooden|bridge,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,1,first3,it|takes|240,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,2,first3,gissela|gordy|and,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,3,first3,colby|loves|going,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,4,first3,it|takes|20,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,5,first3,vince|can|staple,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,6,first3,britany|records|18,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,7,first3,sally|has|realized,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,8,first3,melanie|is|a,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,9,first3,courtney|attended|a,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,10,first3,tony|is|painting,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,11,first3,zaid|spends|1,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,12,first3,will|buys|15,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,13,first3,gary|does|laundry,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,14,first3,a|company|produces,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,15,first3,there|are|currently,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,16,first3,adrien|s|total,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,17,first3,on|tuesday|peter,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,18,first3,a|raspberry|bush,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,19,first3,the|red|rope,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,20,first3,out|of|the,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,21,first3,in|one|year,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,22,first3,mia|and|emma,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,23,first3,solo|has|to,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,24,first3,hallie|had|dance,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,25,first3,mark|buys|one,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,26,first3,a|car|is,256,128,1,288.0,0.915625
