idx,question,gold,greedy_pred,greedy_correct,greedy_tokens,sc_preds,sc_final,sc_correct,sc_total_tokens
0,not ( True ) and ( True ) is,FALSE,F,0,382,I|I|I|I,I,0,1024
1,True and not not ( not False ) is,TRUE,T,0,917,I|I|I|I,I,0,1024
2,not True or False or ( False ) is,FALSE,E,0,962,"Perhaps the intended expression is ""not (True or False or False)""? Or maybe it's a comparison where the result is|I|I|I",I,0,1024
3,False or not ( True ) and False is,FALSE,E,0,1024,I|I|I|I,I,0,1024
4,True or not False and True and False is,TRUE,I,0,1024,Let me write that out step by step. Let's assume|I|I|I,I,0,1024
5,False or not not not False and True is,TRUE,T,0,1024,I|I|I|I,I,0,1024
6,not True and ( False or True ) is,FALSE,E,0,663,I|I|I|I,I,0,1024
7,True and not False or ( True ) is,TRUE,T,0,820,I|I|I|I,I,0,1024
8,not True or ( False and True ) is,FALSE,F,0,566,I|I|I|I,I,0,1024
9,not True or ( True or False ) is,TRUE,E,0,701,I|I|I|I,I,0,1024
10,False or ( False ) and not False is,FALSE,E,0,936,I|I|I|I,I,0,1024
11,not False or True and False and False is,TRUE,I,0,1024,I|I|I|I,I,0,1024
12,not True or False or not not True is,TRUE,T,0,808,I|I|I|I,I,0,1024
13,True and True and False and not True is,FALSE,F,0,939,I|I|I|I,I,0,1024
14,not not True and not True or True is,TRUE,T,0,828,I|I|I|I,I,0,1024
15,not not not ( True and False ) is,TRUE,T,0,895,I|I|I|I,I,0,1024
16,not not False and not not not False is,FALSE,F,0,1024,I|I|I|I,I,0,1024
17,( True and not True and False ) is,FALSE,C,0,1024,I|I|I|I,I,0,1024
18,False and False and False or not False is,TRUE,E,0,566,I|I|I|I,I,0,1024
19,False or ( False and not False ) is,FALSE,E,0,945,I|I|I|I,I,0,1024
20,True and False or ( not True ) is,FALSE,E,0,1024,I|I|I|I,I,0,1024
21,not not ( True ) and not False is,TRUE,T,0,526,A|I|I|I,I,0,1024
22,not False or ( True ) and True is,TRUE,T,0,949,I|I|I|C,I,0,1024
23,not ( True ) or False or True is,TRUE,E,0,501,I|I|I|I,I,0,1024
24,( True and not not not True ) is,FALSE,F,0,1024,I|I|I|I,I,0,1024
25,( False or not False or False ) is,TRUE,E,0,1024,I|I|I|I,I,0,1024
26,False and False or True and not False is,TRUE,T,0,936,I|I|I|I,I,0,1024
27,not not False or not False or True is,TRUE,E,0,843,I|I|I|I,I,0,1024
28,True and not True or False or True is,TRUE,T,0,897,I|I|I|I,I,0,1024
29,not False or True and False or False is,TRUE,I,0,1024,I|I|I|I,I,0,1024
