test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,0,first1,in,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,1,first1,on,1024,512,1,1024.0,0.7
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,2,first1,it,256,1024,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,3,first1,which,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,4,first1,sort,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,5,first1,complete,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,6,first1,jane,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,7,first1,alice,1024,1024,1,885.0,0.74072265625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,8,first1,the,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,9,first1,alice,1024,1024,1,912.0,0.7328125000000001
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,10,first1,how,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,11,first1,false,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,12,first1,on,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,13,first1,4,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,14,first1,false,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,15,first1,alice,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,16,first1,1,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,17,first1,question,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,18,first1,which,1024,1024,1,645.0,0.81103515625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,19,first1,6,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,20,first1,on,1024,1024,1,1024.0,0.7
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,21,first1,in,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,22,first1,this,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,23,first1,consumer,256,256,0,256.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,24,first1,alice,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,25,first1,on,1024,1024,1,1024.0,0.7
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,26,first1,the,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,27,first1,this,1024,256,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,28,first1,which,1024,1024,1,947.0,0.7225585937500001
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_071603.csv,29,first1,which,1024,1024,1,679.0,0.80107421875
